('WT21-B37-76', 0.0026794100575940026)
('WT21-B37-75', 0.0015259169938491943)
('WT25-B39-116', 0.001469493525942902)
('WT23-B21-53', 0.0013723220436261349)
('WT24-B40-171', 0.0012450717566983615)
('WT23-B39-340', 0.0012404897054879844)
('WT23-B37-134', 0.0012052144091444022)
('WT08-B18-400', 0.0011435408632988462)
('WT13-B06-284', 0.0011247816392148762)
('WT24-B26-46', 0.001085046284356923)
('WT13-B06-273', 0.0010447011496304431)
('WT01-B18-225', 0.0009884437490061387)
('WT04-B27-720', 0.0009364086574881648)
('WT23-B19-156', 0.0008942312055246107)
('WT04-B30-12', 0.0008164408730753147)
('WT24-B26-10', 0.0008074219677635513)
('WT25-B15-307', 0.0008043822927290954)
('WT07-B18-256', 0.0007749484283491471)
('WT24-B26-2', 0.000771341576579565)
('WT14-B03-220', 0.0007164426193243049)
('WT24-B40-167', 0.0007075088302797607)
('WT14-B03-227', 0.0006850236231903118)
('WT18-B31-240', 0.0006601901997680989)
('WT04-B40-202', 0.000658703995482509)
('WT08-B19-222', 0.000643432387733165)
('WT27-B28-203', 0.0006270014372323686)
('WT13-B15-160', 0.0006212965578003634)
('WT13-B39-295', 0.0006169606348981621)
('WT12-B30-56', 0.0006022896896485935)
('WT10-B02-288', 0.0005759930829182219)
('WT22-B38-403', 0.0005745722110603935)
('WT14-B36-337', 0.0005582567353083408)
('WT27-B34-57', 0.0005555001106171723)
('WT23-B20-363', 0.0005508623432931846)
('WT23-B01-40', 0.0005504218710831495)
('WT27-B32-30', 0.0005497708186874569)
('WT21-B40-37', 0.000548180008165135)
('WT21-B35-155', 0.0005400521617883295)
('WT08-B08-60', 0.0005356370270430308)
('WT04-B22-268', 0.0005327681234560993)
('WT14-B02-400', 0.0005325661940760391)
('WT18-B14-66', 0.0005320595142203085)
('WT23-B27-31', 0.0005256162924708051)
('WT23-B38-120', 0.0005209278386044817)
('WT06-B35-151', 0.0005201041246823873)
('WT06-B14-69', 0.0005190665894700365)
('WT06-B35-161', 0.0005182093969183254)
('WT10-B33-300', 0.0005168066558201949)
('WT14-B36-335', 0.0005154599865694149)
('WT14-B36-336', 0.0005154599865694149)
('WT14-B36-323', 0.0005151211696234804)
